id,vegetable_id,price,market,date,price_variation,created_at,updated_at
272,32,721,東京都,2025-04-21,117.0,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
273,33,1152,東京都,2025-04-21,99.1,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
274,34,1166,東京都,2025-04-21,105.5,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
275,35,1026,東京都,2025-04-21,105.2,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
276,36,570,東京都,2025-04-21,105.9,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
277,37,2271,東京都,2025-04-21,97.2,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
278,38,301,東京都,2025-04-21,109.9,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
279,39,378,東京都,2025-04-21,106.2,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
280,40,371,東京都,2025-04-21,105.4,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
281,41,439,東京都,2025-04-21,101.9,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
282,42,164,東京都,2025-04-21,99.4,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
283,43,1654,東京都,2025-04-21,92.7,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
284,44,1049,東京都,2025-04-21,95.3,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
285,45,969,東京都,2025-04-21,97.3,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
286,46,400,東京都,2025-04-21,99.0,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
287,47,311,東京都,2025-04-21,106.9,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
288,48,430,東京都,2025-04-21,98.4,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
385,1,119,東京都,2025-04-22,100.8,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
386,2,150,東京都,2025-04-22,99.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
387,3,292,東京都,2025-04-22,98.0,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
388,4,579,東京都,2025-04-22,91.2,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
389,5,439,東京都,2025-04-22,96.7,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
390,6,665,東京都,2025-04-22,100.9,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
391,7,77,東京都,2025-04-22,104.1,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
392,8,319,東京都,2025-04-22,95.5,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
393,9,334,東京都,2025-04-22,98.5,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
394,10,346,東京都,2025-04-22,99.7,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
395,11,116,東京都,2025-04-22,100.0,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
396,12,478,東京都,2025-04-22,98.6,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
397,13,469,東京都,2025-04-22,100.9,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
398,14,495,東京都,2025-04-22,104.9,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
399,15,792,東京都,2025-04-22,100.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
400,16,443,東京都,2025-04-22,96.7,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
401,17,899,東京都,2025-04-22,104.9,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
402,18,608,東京都,2025-04-22,93.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
403,19,324,東京都,2025-04-22,100.6,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
404,20,2058,東京都,2025-04-22,99.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
405,21,288,東京都,2025-04-22,107.5,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
406,22,479,東京都,2025-04-22,99.6,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
407,23,170,東京都,2025-04-22,101.2,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
408,24,1058,東京都,2025-04-22,107.3,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
409,25,301,東京都,2025-04-22,98.7,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
410,26,234,東京都,2025-04-22,93.6,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
411,27,393,東京都,2025-04-22,97.8,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
412,28,406,東京都,2025-04-22,103.0,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
413,29,532,東京都,2025-04-22,94.8,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
414,30,615,東京都,2025-04-22,99.7,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
415,31,2219,東京都,2025-04-22,101.4,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
416,32,702,東京都,2025-04-22,97.4,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
417,33,1210,東京都,2025-04-22,105.0,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
418,34,1166,東京都,2025-04-22,100.0,2025-04-24 18:53:41 +0900,2025-04-24 18:53:41 +0900
